id,amount_paise,status,failure_reason,customer_ref,previous_successful_payments,previous_recovery_attempts,customer_tenure_days,previous_failed_payments,average_order_value,time_since_last_successful_payment_hours,time_since_last_recovery_attempt_hours,checkout_duration_seconds,payment_method,ground_truth_recoverable,ground_truth_outcome,ground_truth_recovered_amount,created_at
55f5b0d7-f040-4e1f-b647-9cd13839f3f2,256431,failed,network_error,cust_b7e681634ff5511b,0,0,13,1,237893,,,148,upi,True,recovered,256431,2026-07-27 13:21:13+00:00
3a305a14-fac9-4e43-9739-d541114d7590,594135,succeeded,,cust_8df7655259abee00,0,0,54,2,231899,,,71,card,False,not_recovered,0,2026-07-27 15:31:11+00:00
cd885b79-9b8c-44fd-a449-8ed1198da14a,1813375,succeeded,,cust_64444811a74551bc,0,0,41,0,24434,,,54,netbanking,False,not_recovered,0,2026-07-27 16:41:51+00:00
d3c2d507-1009-46f7-9d40-0f24f3e8e213,722162,failed,network_error,cust_6485e142b1368771,0,1,10,1,257752,,159,399,netbanking,True,recovered,722162,2026-07-27 17:45:49+00:00
28bd61e5-6af4-4db9-910b-bf1fa6fcf148,1557548,abandoned_checkout,customer_abandoned,cust_4a615a2384d5b5e7,0,0,2,2,79924,,,162,netbanking,True,recovered,1557548,2026-07-27 18:27:15+00:00
c814945c-4dc9-45b9-a4b3-314020706fbe,957626,succeeded,,cust_1e2b57cecf650e8c,0,0,39,0,43282,,,148,upi,False,not_recovered,0,2026-07-27 20:47:43+00:00
f68d7e21-1d1f-40ce-a6b5-0a97903e09f4,564652,succeeded,,cust_1ef7f63d4eb5f9d1,0,0,2,0,18506,,,132,netbanking,False,not_recovered,0,2026-07-27 22:09:46+00:00
4f00fa6b-25b1-407a-b8cf-7f0a2b8b4686,409672,abandoned_checkout,customer_abandoned,cust_d13ee4f01df5543c,0,2,38,2,178738,,130,453,upi,False,not_recovered,0,2026-07-27 22:28:16+00:00
a46e82c9-c473-4cad-919e-868b3e30686c,1719356,succeeded,,cust_126d9f3583ac4a5a,0,0,30,2,45396,,,115,card,False,not_recovered,0,2026-07-27 23:00:27+00:00
d7d8911c-d92b-4713-ae3c-a33ffcb602d8,1099820,failed,otp_timeout,cust_6bd2692f82b7095d,0,0,54,1,78302,,,118,card,True,recovered,1099820,2026-07-27 23:51:19+00:00
9aff36cf-5c7e-44c0-b996-b98d62de09cb,1907483,failed,otp_timeout,cust_a3e3bf51a5955233,0,0,18,2,93903,,,312,netbanking,True,recovered,1907483,2026-07-28 00:05:23+00:00
4dbc02b8-7db9-4d74-ba3d-28b7123c6942,1859471,failed,network_error,cust_846d151a17082680,0,0,49,2,237152,,,346,card,False,not_recovered,0,2026-07-28 00:19:32+00:00
5b87e186-6048-4ed2-87bd-f1ea51ae9d4c,1361867,succeeded,,cust_repeat_153,6,0,1048,0,710388,78,,82,netbanking,False,not_recovered,0,2026-07-28 00:52:45+00:00
f4cceaa2-9daf-4d7d-a6f0-7b43a6643211,1703767,succeeded,,cust_3ceb566379211628,0,0,12,1,145851,,,62,netbanking,False,not_recovered,0,2026-07-28 01:08:35+00:00
6e832b5b-b100-4626-b451-0982ec2e173a,979911,failed,card_declined,cust_repeat_118,3,0,63,1,316582,326,,312,card,True,recovered,979911,2026-07-28 03:03:53+00:00
a3567aca-5615-42e9-aacb-f0126aec13bf,1726570,succeeded,,cust_repeat_56,4,0,350,3,72837,338,,114,card,False,not_recovered,0,2026-07-28 03:10:09+00:00
0e985214-9fcd-47a2-8edc-541729ef9d03,846628,succeeded,,cust_cfb6448cf6e2dfaa,0,0,37,1,72007,,,63,card,False,not_recovered,0,2026-07-28 03:22:02+00:00
e9f83024-1eab-43e5-9c26-e743e4658327,222917,failed,network_error,cust_bdf698cf2fec5c29,0,0,13,0,217646,,,89,netbanking,True,recovered,222917,2026-07-28 03:35:19+00:00
2a9cc125-9210-4acd-90ad-8931613ff51a,522557,failed,network_error,cust_repeat_109,9,0,215,2,137856,47,,338,upi,True,recovered,522557,2026-07-28 03:49:43+00:00
4bfd7370-4d91-45e5-8a46-08cbff795e19,1785267,abandoned_checkout,customer_abandoned,cust_repeat_122,2,0,163,2,220045,443,,521,card,True,recovered,1785267,2026-07-28 07:44:30+00:00
0143b7ae-6b5a-4a0f-8858-26bcebb01533,1283552,failed,otp_timeout,cust_1a1f7482797175b1,0,0,48,2,98283,,,269,upi,True,recovered,1283552,2026-07-28 08:32:13+00:00
a6d0035f-7cce-4bd6-98ed-6c405ee3f3d9,1082682,failed,otp_timeout,cust_f2a34a8b7a77a92d,0,0,22,2,126832,,,198,netbanking,True,recovered,1082682,2026-07-28 08:53:38+00:00
de699f26-2112-49d5-a767-b59b7cc87ea9,857178,succeeded,,cust_e55c90ae53cddd60,0,0,14,2,82651,,,158,card,False,not_recovered,0,2026-07-28 09:27:09+00:00
8a81902d-73d4-43b9-8164-a23833a0c343,68881,failed,otp_timeout,cust_14b9f5751205fbf8,9,4,889,10,705719,170,86,347,card,False,not_recovered,0,2026-07-28 09:56:40+00:00
e11c4167-06f8-4ed2-8448-6897958b7ea5,204355,abandoned_checkout,customer_abandoned,cust_836b3586cabb5fe1,0,0,26,2,78891,,,199,upi,True,recovered,204355,2026-07-28 10:03:23+00:00
4b9295f7-bac8-4b04-a8d1-f7ab8ce6cd44,266793,failed,network_error,cust_repeat_68,6,0,345,1,627951,15,,247,upi,True,recovered,266793,2026-07-28 10:45:43+00:00
c78471e1-fa40-4db2-814b-db657b934fac,969929,failed,otp_timeout,cust_92e7ea6ef125863d,0,0,17,2,196842,,,366,netbanking,True,recovered,969929,2026-07-28 11:42:13+00:00
d9602afd-460e-4d9b-bee5-cc9979ec800d,1376754,succeeded,,cust_14b87206508317f4,0,0,48,2,45425,,,44,card,False,not_recovered,0,2026-07-28 11:55:30+00:00
255517f1-bc46-483c-84e3-50067d086939,441539,abandoned_checkout,customer_abandoned,cust_repeat_118,2,0,206,0,326326,335,,347,upi,False,not_recovered,0,2026-07-28 12:12:59+00:00
91ff2b3b-5ecc-4b75-9558-87b7d8279940,114652,failed,network_error,cust_942846d2971fb7cd,0,0,57,1,61452,,,153,upi,True,recovered,114652,2026-07-28 12:23:58+00:00
c021cbed-b6cc-4c2c-9bc4-a10677e47b0c,1083352,failed,otp_timeout,cust_44a87fd6dc5f32e3,0,0,23,1,121244,,,346,upi,False,not_recovered,0,2026-07-28 12:28:52+00:00
1ecbd8ff-7db3-4e97-aabf-3599daccc875,1196694,succeeded,,cust_d605c65ced732972,0,0,3,2,250539,,,116,card,False,not_recovered,0,2026-07-28 12:45:48+00:00
1bf67ada-7d98-4191-b824-e2f5ce5ca7a9,1614969,failed,insufficient_funds,cust_959c73b2533d8f58,0,0,24,2,161138,,,111,netbanking,True,recovered,1614969,2026-07-28 13:20:23+00:00
676b3f8e-782a-46b9-a65b-a52853c7f2c8,116536,succeeded,,cust_1fa9660bf476c0d1,0,0,55,0,146113,,,115,upi,False,not_recovered,0,2026-07-28 15:27:08+00:00
0bf6f560-62e7-4cdc-9a46-0e030b39c534,375071,abandoned_checkout,customer_abandoned,cust_repeat_196,6,0,858,0,740862,100,,521,card,True,recovered,375071,2026-07-28 15:50:44+00:00
