id,synthetic_event_id,at_risk,recoverability,risk_reason,detected_at,ground_truth_recoverable,ground_truth_outcome
d2576095-3ae0-4341-b5e1-65c885e547d9,55f5b0d7-f040-4e1f-b647-9cd13839f3f2,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
f2db3e46-105e-4e53-aac1-89ab96ba6c2b,3a305a14-fac9-4e43-9739-d541114d7590,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
d72de38c-29b3-4b0f-b510-e1355a29614f,cd885b79-9b8c-44fd-a449-8ed1198da14a,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
2ff72a0d-c5bc-4d2d-92e5-555d512ccf14,d3c2d507-1009-46f7-9d40-0f24f3e8e213,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
c8b67ce2-7fce-4ce4-85f3-bbf3ec367380,28bd61e5-6af4-4db9-910b-bf1fa6fcf148,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
414c0300-dbf5-4f53-a6a0-28e851386624,c814945c-4dc9-45b9-a4b3-314020706fbe,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
5ce9a3d2-a10e-4f5a-9aef-00185cfdbbca,f68d7e21-1d1f-40ce-a6b5-0a97903e09f4,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
161d3a66-70d0-42bd-9b5d-58d4b092087a,4f00fa6b-25b1-407a-b8cf-7f0a2b8b4686,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,False,not_recovered
3e867e37-ee84-46b9-8b4c-50c2931325c8,a46e82c9-c473-4cad-919e-868b3e30686c,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
b450695f-54ae-45d4-b49a-2b8286ac9341,d7d8911c-d92b-4713-ae3c-a33ffcb602d8,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
5c436770-db5a-40d7-860f-f51c5079dcdf,9aff36cf-5c7e-44c0-b996-b98d62de09cb,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
860d782b-6e43-4528-abfc-19e91cfceb47,4dbc02b8-7db9-4d74-ba3d-28b7123c6942,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,False,not_recovered
3d19f6eb-69e4-4a56-9244-69d3e80c16ed,5b87e186-6048-4ed2-87bd-f1ea51ae9d4c,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
69694511-7469-487e-bd89-57ec7d6085d7,f4cceaa2-9daf-4d7d-a6f0-7b43a6643211,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
bdee17cc-c285-454a-b0c4-52f126a280db,6e832b5b-b100-4626-b451-0982ec2e173a,True,low,LOW_RECOVERY_PROBABILITY,2026-08-26 17:38:44.719504+00:00,True,recovered
7b09ce56-c80e-4264-9f37-96add4585828,a3567aca-5615-42e9-aacb-f0126aec13bf,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
a44396c6-c455-4dd6-88bc-c9cbdd9ffe2f,0e985214-9fcd-47a2-8edc-541729ef9d03,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
f8772d97-2621-40ed-94e3-0acc718055d4,e9f83024-1eab-43e5-9c26-e743e4658327,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
05af411b-4ed0-448f-a062-da6cd0880544,2a9cc125-9210-4acd-90ad-8931613ff51a,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
cf86f328-6040-4447-afc7-3d84f7be90be,4bfd7370-4d91-45e5-8a46-08cbff795e19,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
0bb0fc04-699d-4f3d-a50f-379599c64a91,0143b7ae-6b5a-4a0f-8858-26bcebb01533,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
e2031997-b02d-4f1c-b685-d2eca7ca3fcf,a6d0035f-7cce-4bd6-98ed-6c405ee3f3d9,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
f22140f4-7cbd-40f4-a6f2-50478972c457,de699f26-2112-49d5-a767-b59b7cc87ea9,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
f42f75d9-6925-423d-abad-8ff7b158d4b9,8a81902d-73d4-43b9-8164-a23833a0c343,True,none,EXHAUSTED_ATTEMPTS,2026-08-26 17:38:44.719504+00:00,False,not_recovered
2de56967-a537-4db1-84c5-8487050a9db4,e11c4167-06f8-4ed2-8448-6897958b7ea5,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
9dc8ac10-7c37-457a-ad87-0e5bdb735284,4b9295f7-bac8-4b04-a8d1-f7ab8ce6cd44,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
40dc21de-de0e-4039-804c-5123b2a4930c,c78471e1-fa40-4db2-814b-db657b934fac,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
711cdc5d-5d45-41f6-a353-8eea8b04fe5b,d9602afd-460e-4d9b-bee5-cc9979ec800d,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
0a9ad9be-887c-4d77-987f-7dd8e0452ffc,255517f1-bc46-483c-84e3-50067d086939,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,False,not_recovered
28cde735-b0e2-43b3-99cb-91ca4691e1bd,91ff2b3b-5ecc-4b75-9558-87b7d8279940,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
c150e440-4cbd-4a1c-9a0a-b5a49882da38,c021cbed-b6cc-4c2c-9bc4-a10677e47b0c,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,False,not_recovered
8ab871df-daef-41ce-8283-f5d56e06ee33,1ecbd8ff-7db3-4e97-aabf-3599daccc875,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
55614cc0-e9b6-4c23-b921-c5321d7970e1,1bf67ada-7d98-4191-b824-e2f5ce5ca7a9,True,low,LOW_RECOVERY_PROBABILITY,2026-08-26 17:38:44.719504+00:00,True,recovered
cbbca8ad-2436-4630-a2e9-b6bf70c3890a,676b3f8e-782a-46b9-a65b-a52853c7f2c8,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
e3db2f8e-8bbd-45ec-9067-5a1973b01dfc,0bf6f560-62e7-4cdc-9a46-0e030b39c534,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
d93aac39-0108-4c0b-a695-41b39a2cde8c,e533743e-065c-439d-9da2-2be94160c391,True,low,LOW_RECOVERY_PROBABILITY,2026-08-26 17:38:44.719504+00:00,True,recovered
566c1deb-522e-4125-aee4-ae528b8ff59a,ea2af0a2-361a-4e25-a9d8-766ea8ce8218,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
82522b8d-fc7d-495e-9a1b-8f0b7551dfa3,c52bde73-81e2-4b0b-8a7e-cdd873d5f970,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
8f121df8-4262-473f-8da1-d33f9286dfc8,674942d0-253a-476f-a034-cb84ca4934a5,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
0edae9ed-300c-4431-b7af-1d811504a179,160747cb-3881-4e87-965b-1b7876bdc857,False,none,NOT_AT_RISK,2026-08-26 17:38:44.719504+00:00,False,not_recovered
c677d585-4cea-4d0d-85bf-64b4a800121a,1aa406f9-3a0b-4e74-b747-5111e9627509,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
305600f5-4da1-4749-a19d-63e39af3cd47,321f8b80-8f31-4b17-be25-850c67d2a18e,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
90244861-24ba-40f8-a208-03851f49f926,45c7c750-58f4-4c13-bbc7-ed980e81d66b,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
13a390a7-a347-49b0-884a-09a97216ccaf,d4eb7044-59e0-4bc1-b9fb-6d7983caa828,True,high,TRANSIENT_FAILURE,2026-08-26 17:38:44.719504+00:00,True,recovered
565a10cf-b7b3-4b3c-b8cd-54304a634c81,3abb193f-2830-43dc-aef2-aea2a018fba7,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
8ba650b1-f375-471d-8b43-51f64dec0768,011eef6a-5417-431b-aa70-396375a679eb,True,high,CHECKOUT_ABANDONMENT,2026-08-26 17:38:44.719504+00:00,True,recovered
